,Date,Industrial_prod
4705,2020-03-18,91.55177
4706,2020-03-19,91.55177
4707,2020-03-20,91.55177
4708,2020-03-21,91.55177
4709,2020-03-22,91.55177
4710,2020-03-23,91.55177
4711,2020-03-24,91.55177
4712,2020-03-25,91.55177
4713,2020-03-26,91.55177
4714,2020-03-27,91.55177
4715,2020-03-28,91.55177
4716,2020-03-29,91.55177
4717,2020-03-30,91.55177
4718,2020-03-31,91.55177
4719,2020-04-01,71.39634
4720,2020-04-02,71.39634
4721,2020-04-03,71.39634
4722,2020-04-04,71.39634
4723,2020-04-05,71.39634
4724,2020-04-06,71.39634
4725,2020-04-07,71.39634
